,names,scores,logfoldchanges,pvals,pvals_adj
7565,CG31668,-2.20362,-25.382805,0.02755108511165674,0.0324233456163945
7566,mav,-2.2198231,-25.227736,0.026430784424808916,0.031160215262487655
7567,CG42788,-2.2215161,-0.2719937,0.02631601949365298,0.03103410863090592
7568,CG10911,-2.2441278,-26.06359,0.024824190041753597,0.029313906311916448
7569,CG10527,-2.2479856,-2.278765,0.024577113382158886,0.029048001991179472
7570,CG32750,-2.2603307,-25.220482,0.02380073226843118,0.028168033921850372
7571,SecCl,-2.2717757,-1.4027882,0.023100057294737953,0.02737134971100482
7572,alpha-Man-Ic,-2.2818706,-4.6726956,0.02249698421272311,0.026672649687034596
7573,Rgl,-2.2850103,-0.43501285,0.022312216154867236,0.02646147047781081
7574,CG12643,-2.2983952,-1.9467711,0.02153931078019956,0.025575320677250234
7575,Ugt303B2,-2.30894,-25.307953,0.020946911460982532,0.02490535827875112
7576,Gk2,-2.3235142,-5.5857224,0.020151545908130727,0.024003401733009497
7577,Est-6,-2.3494477,-25.731815,0.01880128470510902,0.022444791505619125
7578,Rh7,-2.3494477,-25.320433,0.01880128470510902,0.022444791505619125
7579,CG15818,-2.3575492,-25.77575,0.01839601473936866,0.021974167988989216
7580,lncRNA:CR46258,-2.365651,-25.33709,0.01799841184952305,0.02151537397271763
7581,Fatp3,-2.3668404,-1.5749881,0.017940671937416528,0.021452795665549602
7582,l(2)03659,-2.3686514,-1.4832184,0.017853073220240927,0.02135767469711371
7583,tok,-2.3737524,-25.562742,0.017608356588432066,0.02108710654338411
7584,CG13566,-2.3899555,-25.521301,0.01685041759308695,0.020215241437458013
7585,Antp,-2.3899555,-26.204067,0.01685041759308695,0.020215241437458013
7586,CAH9,-2.4142601,-26.184563,0.015767204004433263,0.018962099829447618
7587,CG6738,-2.4142601,-25.462238,0.015767204004433263,0.018962099829447618
7588,Lac,-2.430463,-25.849384,0.01507953946963296,0.018154296572199174
7589,lncRNA:CR45585,-2.4311275,-1.922245,0.015051914263051074,0.01812377997271157
7590,grh,-2.4385648,-25.42593,0.014745719102159723,0.017765845948242393
7591,lin-28,-2.4456053,-0.5985635,0.014460920613406095,0.01742535460440562
7592,CG9098,-2.4466662,-25.36562,0.014418428981827503,0.017378849717837506
7593,CG5011,-2.4709709,-25.709784,0.01347467954341567,0.016278836442933414
7594,CG9701,-2.472782,-2.2050228,0.013406592281759949,0.016201498325315433
7595,18w,-2.4790723,-25.418945,0.01317245612906646,0.015930645544938452
7596,Obp69a,-2.487174,-25.408781,0.012876242082717796,0.015588988551315932
7597,Faa,-2.4961758,-3.700165,0.012554041273974399,0.015219743259643904
7598,CG8708,-2.5114787,-25.796656,0.012022657976978648,0.01459776275191046
7599,CG14457,-2.5195801,-25.459538,0.011749489384273915,0.014283517032142368
7600,Jon99Ci,-2.5276816,-25.798918,0.011481840287262238,0.013973083615645284
7601,LanB2,-2.5393302,-1.0836174,0.011106490487360022,0.01353491927559308
7602,CG13012,-2.5438848,-25.78044,0.010962724537564179,0.013363811394466733
7603,klu,-2.5438848,-26.008694,0.010962724537564179,0.013363811394466733
7604,CG12926,-2.5538723,-2.8483536,0.010653229559098903,0.013004456144304934
7605,CG42808,-2.5681894,-25.687803,0.010223128406515038,0.01249859892280387
7606,mthl10,-2.5869966,-4.134532,0.009681656198305747,0.011856639741854968
7607,CG17544,-2.6041963,-0.78751546,0.00920900078946393,0.011296923132451205
7608,CG18088,-2.6249,-25.986416,0.008667436808098302,0.010652274483578503
7609,LanB1,-2.6272042,-0.64961606,0.008608965192688828,0.010586650152149747
7610,CG34351,-2.6330018,-26.183386,0.008463391284065133,0.010415978232545909
7611,dac,-2.6410496,-1.5787187,0.008264959264136793,0.01017491272749648
7612,lncRNA:CR44347,-2.6411033,-25.51119,0.008263652214290377,0.010174877471153636
7613,Strn-Mlck,-2.651691,-0.7261176,0.008008979567854669,0.009876583263178697
7614,CG4733,-2.6528056,-4.2458386,0.007982585006959638,0.009845559285664305
7615,Cyp28d1,-2.6603928,-2.9367974,0.007804959679527299,0.009638428873445737
7616,CG31075,-2.6620858,-4.7841306,0.007765806731137811,0.009591566693532875
7617,Btnd,-2.7059157,-25.916603,0.00681163476723093,0.008459010939677169
